STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;CDE_C013;PRD_PRODUCT;CDE_REP_PRUD_NONBANK;TYP_PL_CLASS_BE;TYP_HEDGING;AUDIT_INFO;TYP_AMORTISATION_BE
5;20231231;1;PRL_5162378;;;;;;;
5;20231231;1;PRL_5162379;;;;;;;
5;20231231;1;PRL_5162380;;;;;;;
5;20231231;1;PRL_5162381;;;;;;;
5;20231231;1;PRL_5162382;;;;;;;
5;20231231;1;PRL_5162383;;;;;;;
5;20231231;1;PRL_5162384;;;;;;;
5;20231231;1;PRL_5162385;;;;;;;
5;20231231;1;PRL_5162386;;;;;;;
5;20231231;1;PRL_5162387;;;;;;;
5;20231231;1;PRL_5162388;;;;;;;
5;20231231;1;PRL_5162389;;;;;;;
5;20231231;1;PRL_5162390;;;;;;;
5;20231231;1;PRL_5162391;;;;;;;
5;20231231;1;PRL_5162392;;;;;;;
5;20231231;1;PRL_5162393;;;;;;;
5;20231231;1;PRL_5162394;;;;;;;
5;20231231;1;PRL_5162395;;;;;;;
5;20231231;1;PRL_5162396;;;;;;;
5;20231231;1;PRL_5162397;;;;;;;
5;20231231;1;PRL_5162430;;;;;;;
5;20231231;1;PRL_5162440;;;;;;;
5;20231231;1;PRL_5171110;;;;;;;
5;20231231;1;PRL_5171120;;;;;;;
5;20231231;1;PRL_5171200;;;;;;;
5;20231231;1;PRL_5171210;;;;;;;
5;20231231;1;PRL_5174300;;;;;;;
5;20231231;1;PRL_5181000;;;;;;;
5;20231231;1;PRL_5182000;;;;;;;
5;20231231;1;PRL_5241010;;;;;;;
5;20231231;1;PRL_5241020;;;;;;;
5;20231231;1;PRL_5250000;;;;;;;
5;20231231;1;PRL_5251000;;;;;;;
5;20231231;1;PRL_5310000;;;;;;;
5;20231231;1;PRL_5311000;;;;;;;
5;20231231;1;PRL_5312000;;;;;;;
5;20231231;1;PRL_5313000;;;;;;;
5;20231231;1;PRL_5314000;;;;;;;
5;20231231;1;PRL_5320000;;;;;;;
5;20231231;1;PRL_5400000;;;;;;;
5;20231231;1;PRL_5520000;;;;;;;
5;20231231;1;PRL_5600000;;;;;;;
