STATUS;VALID_ON;LOT_TYPE_FK;IDE_CG_REF;IDE_CRM_GROUP_REF;IDE_POSITION_REF;IDE_POSITION_TYPE;IDE_EXP_CPTY_REF;IDE_COL_CPTY_REF;RCA_COL_MAX
5;20231231;1;CRM_1009830_606329;CRM_1009830;POS_606329;3;;;
5;20231231;1;CRM_1009838_606334;CRM_1009838;POS_606334;3;;;
5;20231231;1;CRM_1009252_606335;CRM_1009252;POS_606335;3;;;
5;20231231;1;CRM_1009840_606337;CRM_1009840;POS_606337;3;;;
5;20231231;1;CRM_1009842_606338;CRM_1009842;POS_606338;3;;;
5;20231231;1;CRM_1009843_606339;CRM_1009843;POS_606339;3;;;
5;20231231;1;CRM_1009844_606340;CRM_1009844;POS_606340;3;;;
5;20231231;1;CRM_1009847_606346;CRM_1009847;POS_606346;3;;;
5;20231231;1;CRM_1009848_606347;CRM_1009848;POS_606347;3;;;
5;20231231;1;CRM_1009849_606348;CRM_1009849;POS_606348;3;;;
5;20231231;1;CRM_1009851_606349;CRM_1009851;POS_606349;3;;;
5;20231231;1;CRM_1009851_606350;CRM_1009851;POS_606350;3;;;
5;20231231;1;CRM_1009853_606352;CRM_1009853;POS_606352;3;;;
5;20231231;1;CRM_1009854_606353;CRM_1009854;POS_606353;3;;;
5;20231231;1;CRM_1008508_606356;CRM_1008508;POS_606356;3;;;
5;20231231;1;CRM_1009867_606358;CRM_1009867;POS_606358;3;;;
5;20231231;1;CRM_1009867_606359;CRM_1009867;POS_606359;3;;;
5;20231231;1;CRM_1009870_606360;CRM_1009870;POS_606360;3;;;
5;20231231;1;CRM_1009870_606361;CRM_1009870;POS_606361;3;;;
5;20231231;1;CRM_1009871_606362;CRM_1009871;POS_606362;3;;;
5;20231231;1;CRM_1009873_606364;CRM_1009873;POS_606364;3;;;
5;20231231;1;CRM_1009875_606366;CRM_1009875;POS_606366;3;;;
5;20231231;1;CRM_1009367_606367;CRM_1009367;POS_606367;3;;;
5;20231231;1;CRM_0906653_606368;CRM_0906653;POS_606368;3;;;
5;20231231;1;CRM_1009880_606370;CRM_1009880;POS_606370;3;;;
5;20231231;1;CRM_1009880_606371;CRM_1009880;POS_606371;3;;;
5;20231231;1;CRM_1008602_606373;CRM_1008602;POS_606373;3;;;
5;20231231;1;CRM_1009882_606375;CRM_1009882;POS_606375;3;;;
5;20231231;1;CRM_1009882_606376;CRM_1009882;POS_606376;3;;;
5;20231231;1;CRM_1009893_606379;CRM_1009893;POS_606379;3;;;
5;20231231;1;CRM_1009894_606380;CRM_1009894;POS_606380;3;;;
5;20231231;1;CRM_1009895_606381;CRM_1009895;POS_606381;3;;;
5;20231231;1;CRM_1008077_606382;CRM_1008077;POS_606382;3;;;
5;20231231;1;CRM_1009898_606383;CRM_1009898;POS_606383;3;;;
5;20231231;1;CRM_1009899_606384;CRM_1009899;POS_606384;3;;;
5;20231231;1;CRM_1009904_606387;CRM_1009904;POS_606387;3;;;
5;20231231;1;CRM_1009906_606388;CRM_1009906;POS_606388;3;;;
5;20231231;1;CRM_1009911_606389;CRM_1009911;POS_606389;3;;;
5;20231231;1;CRM_1009916_606391;CRM_1009916;POS_606391;3;;;
5;20231231;1;CRM_1009917_606392;CRM_1009917;POS_606392;3;;;
5;20231231;1;CRM_1009920_606394;CRM_1009920;POS_606394;3;;;
5;20231231;1;CRM_1004096_606395;CRM_1004096;POS_606395;3;;;
5;20231231;1;CRM_1004096_606396;CRM_1004096;POS_606396;3;;;
5;20231231;1;CRM_1009922_606398;CRM_1009922;POS_606398;3;;;
5;20231231;1;CRM_1002794_606401;CRM_1002794;POS_606401;3;;;
5;20231231;1;CRM_1009924_606402;CRM_1009924;POS_606402;3;;;
5;20231231;1;CRM_1009925_606404;CRM_1009925;POS_606404;3;;;
5;20231231;1;CRM_1009927_606406;CRM_1009927;POS_606406;3;;;
5;20231231;1;CRM_1009929_606409;CRM_1009929;POS_606409;3;;;
5;20231231;1;CRM_1009930_606410;CRM_1009930;POS_606410;3;;;
5;20231231;1;CRM_1000272_606411;CRM_1000272;POS_606411;3;;;
5;20231231;1;CRM_1009938_606415;CRM_1009938;POS_606415;3;;;
5;20231231;1;CRM_1009941_606416;CRM_1009941;POS_606416;3;;;
5;20231231;1;CRM_1003031_606417;CRM_1003031;POS_606417;3;;;
5;20231231;1;CRM_1009947_606419;CRM_1009947;POS_606419;3;;;
5;20231231;1;CRM_1009948_606420;CRM_1009948;POS_606420;3;;;
5;20231231;1;CRM_1009949_606421;CRM_1009949;POS_606421;3;;;
5;20231231;1;CRM_1009949_606422;CRM_1009949;POS_606422;3;;;
5;20231231;1;CRM_1009953_606423;CRM_1009953;POS_606423;3;;;
5;20231231;1;CRM_1009954_606425;CRM_1009954;POS_606425;3;;;
5;20231231;1;CRM_1009956_606426;CRM_1009956;POS_606426;3;;;
5;20231231;1;CRM_1009957_606427;CRM_1009957;POS_606427;3;;;
5;20231231;1;CRM_1009958_606428;CRM_1009958;POS_606428;3;;;
5;20231231;1;CRM_1003444_606431;CRM_1003444;POS_606431;3;;;
5;20231231;1;CRM_1009971_606433;CRM_1009971;POS_606433;3;;;
5;20231231;1;CRM_1009976_606435;CRM_1009976;POS_606435;3;;;
5;20231231;1;CRM_1009977_606436;CRM_1009977;POS_606436;3;;;
5;20231231;1;CRM_1009978_606437;CRM_1009978;POS_606437;3;;;
5;20231231;1;CRM_1009991_606441;CRM_1009991;POS_606441;3;;;
5;20231231;1;CRM_1009992_606444;CRM_1009992;POS_606444;3;;;
5;20231231;1;CRM_1009993_606445;CRM_1009993;POS_606445;3;;;
5;20231231;1;CRM_1009993_606446;CRM_1009993;POS_606446;3;;;
5;20231231;1;CRM_1009997_606449;CRM_1009997;POS_606449;3;;;
5;20231231;1;CRM_1010002_606451;CRM_1010002;POS_606451;3;;;
5;20231231;1;CRM_1010003_606452;CRM_1010003;POS_606452;3;;;
5;20231231;1;CRM_1010003_606453;CRM_1010003;POS_606453;3;;;
5;20231231;1;CRM_1010008_606457;CRM_1010008;POS_606457;3;;;
5;20231231;1;CRM_0908230_606458;CRM_0908230;POS_606458;3;;;
5;20231231;1;CRM_1008329_606459;CRM_1008329;POS_606459;3;;;
5;20231231;1;CRM_1010009_606460;CRM_1010009;POS_606460;3;;;
5;20231231;1;CRM_1003868_606462;CRM_1003868;POS_606462;3;;;
5;20231231;1;CRM_1010011_606463;CRM_1010011;POS_606463;3;;;
5;20231231;1;CRM_1010012_606464;CRM_1010012;POS_606464;3;;;
5;20231231;1;CRM_1000576_606470;CRM_1000576;POS_606470;3;;;
5;20231231;1;CRM_1010025_606476;CRM_1010025;POS_606476;3;;;
5;20231231;1;CRM_1010026_606477;CRM_1010026;POS_606477;3;;;
5;20231231;1;CRM_1010030_606479;CRM_1010030;POS_606479;3;;;
5;20231231;1;CRM_1010031_606480;CRM_1010031;POS_606480;3;;;
5;20231231;1;CRM_1010036_606481;CRM_1010036;POS_606481;3;;;
5;20231231;1;CRM_1010039_606483;CRM_1010039;POS_606483;3;;;
5;20231231;1;CRM_1010046_606489;CRM_1010046;POS_606489;3;;;
5;20231231;1;CRM_1010048_606490;CRM_1010048;POS_606490;3;;;
5;20231231;1;CRM_1010048_606491;CRM_1010048;POS_606491;3;;;
5;20231231;1;CRM_1010054_606494;CRM_1010054;POS_606494;3;;;
5;20231231;1;CRM_1010058_606497;CRM_1010058;POS_606497;3;;;
5;20231231;1;CRM_1010059_606498;CRM_1010059;POS_606498;3;;;
5;20231231;1;CRM_1010062_606499;CRM_1010062;POS_606499;3;;;
5;20231231;1;CRM_1010065_606501;CRM_1010065;POS_606501;3;;;
5;20231231;1;CRM_1010072_606506;CRM_1010072;POS_606506;3;;;
5;20231231;1;CRM_1010080_606510;CRM_1010080;POS_606510;3;;;
5;20231231;1;CRM_1010080_606511;CRM_1010080;POS_606511;3;;;
5;20231231;1;CRM_1010086_606514;CRM_1010086;POS_606514;3;;;
5;20231231;1;CRM_1002787_606515;CRM_1002787;POS_606515;3;;;
5;20231231;1;CRM_1010091_606519;CRM_1010091;POS_606519;3;;;
5;20231231;1;CRM_1010093_606521;CRM_1010093;POS_606521;3;;;
5;20231231;1;CRM_1008733_606524;CRM_1008733;POS_606524;3;;;
5;20231231;1;CRM_1010103_606531;CRM_1010103;POS_606531;3;;;
5;20231231;1;CRM_1010103_606532;CRM_1010103;POS_606532;3;;;
5;20231231;1;CRM_1001695_606533;CRM_1001695;POS_606533;3;;;
5;20231231;1;CRM_1010105_606534;CRM_1010105;POS_606534;3;;;
5;20231231;1;CRM_1010109_606535;CRM_1010109;POS_606535;3;;;
5;20231231;1;CRM_1010110_606536;CRM_1010110;POS_606536;3;;;
5;20231231;1;CRM_1010115_606537;CRM_1010115;POS_606537;3;;;
5;20231231;1;CRM_1007825_606538;CRM_1007825;POS_606538;3;;;
5;20231231;1;CRM_1005187_606541;CRM_1005187;POS_606541;3;;;
5;20231231;1;CRM_1005187_606542;CRM_1005187;POS_606542;3;;;
5;20231231;1;CRM_1002783_606543;CRM_1002783;POS_606543;3;;;
5;20231231;1;CRM_1010123_606544;CRM_1010123;POS_606544;3;;;
5;20231231;1;CRM_1010124_606545;CRM_1010124;POS_606545;3;;;
5;20231231;1;CRM_1010132_606548;CRM_1010132;POS_606548;3;;;
5;20231231;1;CRM_1010135_606552;CRM_1010135;POS_606552;3;;;
5;20231231;1;CRM_1010138_606553;CRM_1010138;POS_606553;3;;;
5;20231231;1;CRM_1010145_606556;CRM_1010145;POS_606556;3;;;
5;20231231;1;CRM_1010146_606557;CRM_1010146;POS_606557;3;;;
5;20231231;1;CRM_1009367_606560;CRM_1009367;POS_606560;3;;;
5;20231231;1;CRM_1010166_606564;CRM_1010166;POS_606564;3;;;
5;20231231;1;CRM_1010166_606565;CRM_1010166;POS_606565;3;;;
5;20231231;1;CRM_1010167_606566;CRM_1010167;POS_606566;3;;;
5;20231231;1;CRM_1010168_606567;CRM_1010168;POS_606567;3;;;
5;20231231;1;CRM_1010170_606568;CRM_1010170;POS_606568;3;;;
5;20231231;1;CRM_1000928_606569;CRM_1000928;POS_606569;3;;;
