STATUS;VALID_ON;LOT_TYPE_FK;IDE_LIMIT_REF;CDE_C013;RCA_INCREASING_AMOUNT;TYP_CP_MOB_CD;TYP_COND_CREDIT;TYP_OWN_FUND_GUAR;PRD_PRODUCT;CDE_C022;AUDIT_INFO
5;20240331;1;LIM_300309;;;;2;;;;
5;20240331;1;LIM_300312;;;;2;;;;
5;20240331;1;LIM_300335;;;;2;;;;
5;20240331;1;LIM_300337;;;;2;;;;
5;20240331;1;LIM_300339;;;;2;;;;
5;20240331;1;LIM_300350;;;;2;;;;
5;20240331;1;LIM_300362;;;;2;;;;
5;20240331;1;LIM_300367;;;;2;;;;
5;20240331;1;LIM_300373;;;;2;;;;
5;20240331;1;LIM_300374;;;;2;;;;
5;20240331;1;LIM_300385;;;;2;;;;
5;20240331;1;LIM_300386;;;;2;;;;
5;20240331;1;LIM_300391;;;;2;;;;
5;20240331;1;LIM_300392;;;;2;;;;
5;20240331;1;LIM_300394;;;;2;;;;
5;20240331;1;LIM_300407;;;;2;;;;
5;20240331;1;LIM_300408;;;;2;;;;
5;20240331;1;LIM_300413;;;;2;;;;
5;20240331;1;LIM_300417;;;;2;;;;
5;20240331;1;LIM_300424;;;;2;;;;
5;20240331;1;LIM_300425;;;;2;;;;
5;20240331;1;LIM_300433;;;;2;;;;
5;20240331;1;LIM_300434;;;;2;;;;
5;20240331;1;LIM_300438;;;;2;;;;
5;20240331;1;LIM_300442;;;;2;;;;
5;20240331;1;LIM_300448;;;;2;;;;
5;20240331;1;LIM_300460;;;;2;;;;
5;20240331;1;LIM_300463;;;;2;;;;
5;20240331;1;LIM_300467;;;;2;;;;
5;20240331;1;LIM_300470;;;;2;;;;
5;20240331;1;LIM_300471;;;;2;;;;
5;20240331;1;LIM_300483;;;;2;;;;
5;20240331;1;LIM_300485;;;;2;;;;
5;20240331;1;LIM_300487;;;;2;;;;
5;20240331;1;LIM_300510;;;;2;;;;
5;20240331;1;LIM_300515;;;;2;;;;
5;20240331;1;LIM_300518;;;;2;;;;
5;20240331;1;LIM_300523;;;;2;;;;
5;20240331;1;LIM_300528;;;;2;;;;
5;20240331;1;LIM_300535;;;;2;;;;
5;20240331;1;LIM_300536;;;;2;;;;
5;20240331;1;LIM_300540;;;;2;;;;
5;20240331;1;LIM_300545;;;;2;;;;
5;20240331;1;LIM_300547;;;;2;;;;
5;20240331;1;LIM_300548;;;;2;;;;
