STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;IDE_INTERNAL_PARTY_REF;IDE_CONTRACT_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_AMOUNT;DTE_VALUE;IDE_SCENARIO_FK;AUDIT_INFO
5;20240331;1;PRL_5162365;CTP_CKV;;1;EUR;7601.45;7601.45;1;31/03/2024;1;
5;20240331;1;PRL_5162366;CTP_CKV;;1;EUR;1184.14;1184.14;1;31/03/2024;1;
5;20240331;1;PRL_5162367;CTP_CKV;;1;EUR;707454.65;707454.65;1;31/03/2024;1;
5;20240331;1;PRL_5162368;CTP_CKV;;1;EUR;35146.80;35146.80;1;31/03/2024;1;
5;20240331;1;PRL_5162369;CTP_CKV;;1;EUR;351365.82;351365.82;1;31/03/2024;1;
5;20240331;1;PRL_5162370;CTP_CKV;;1;EUR;31159.20;31159.20;1;31/03/2024;1;
5;20240331;1;PRL_5162371;CTP_CKV;;1;EUR;50059.38;50059.38;1;31/03/2024;1;
5;20240331;1;PRL_5162372;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162373;CTP_CKV;;1;EUR;4462.95;4462.95;1;31/03/2024;1;
5;20240331;1;PRL_5162374;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162375;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162376;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162377;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162378;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162379;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162380;CTP_CKV;;1;EUR;170390.92;170390.92;1;31/03/2024;1;
5;20240331;1;PRL_5162381;CTP_CKV;;1;EUR;5518.16;5518.16;1;31/03/2024;1;
5;20240331;1;PRL_5162382;CTP_CKV;;1;EUR;15687.80;15687.80;1;31/03/2024;1;
5;20240331;1;PRL_5162383;CTP_CKV;;1;EUR;20980.29;20980.29;1;31/03/2024;1;
5;20240331;1;PRL_5162384;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162385;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162386;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162387;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162388;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162389;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
