STATUS;VALID_ON;LOT_TYPE_FK;CDE_INTERNAL_RATING;CCY_ISO_CURRENCY;DES_INTERNAL_RATING;IDE_COUNTERPARTY_REF;IDE_LIMIT_REF;IDE_RATING_INT_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;TYP_CREDIT_ASSESSMENT
5;20240331;1;2;EUR;;GRP_1003960;;POS_603924;CON_1003960;CTP_CKV;18/10/2017;;
5;20240331;1;4;EUR;;GRP_1003960;;POS_603925;CON_1003960;CTP_CKV;27/11/2019;;
5;20240331;1;2;EUR;;GRP_0901298;;POS_603927;CON_0901298;CTP_CKV;02/03/2018;;
5;20240331;1;2;EUR;;GRP_1003962;;POS_603928;CON_1003962;CTP_CKV;13/10/2017;;
5;20240331;1;2;EUR;;GRP_1003962;;POS_603929;CON_1003962;CTP_CKV;13/10/2017;;
5;20240331;1;2;EUR;;GRP_1003964;;POS_603931;CON_1003964;CTP_CKV;24/10/2017;;
5;20240331;1;2;EUR;;GRP_1003965;;POS_603932;CON_1003965;CTP_CKV;25/10/2017;;
5;20240331;1;7;EUR;;GRP_1003967;;POS_603935;CON_1003967;CTP_CKV;10/05/2021;;
5;20240331;1;2;EUR;;GRP_0905103;;POS_603936;CON_0905103;CTP_CKV;18/10/2017;;
5;20240331;1;2;EUR;;GRP_1003968;;POS_603939;CON_1003968;CTP_CKV;26/10/2017;;
5;20240331;1;2;EUR;;GRP_1003974;;POS_603949;CON_1003974;CTP_CKV;26/10/2017;;
5;20240331;1;2;EUR;;GRP_1003975;;POS_603951;CON_1003975;CTP_CKV;27/10/2017;;
5;20240331;1;2;EUR;;GRP_1003976;;POS_603952;CON_1003976;CTP_CKV;30/10/2017;;
5;20240331;1;2;EUR;;GRP_0952768;;POS_603955;CON_0952768;CTP_CKV;19/05/2022;;
5;20240331;1;2;EUR;;GRP_1003982;;POS_603960;CON_1003982;CTP_CKV;04/05/2023;;
5;20240331;1;2;EUR;;GRP_1003983;;POS_603961;CON_1003983;CTP_CKV;07/11/2017;;
5;20240331;1;2;EUR;;GRP_1003983;;POS_603962;CON_1003983;CTP_CKV;07/11/2017;;
5;20240331;1;2;EUR;;GRP_1003984;;POS_603963;CON_1003984;CTP_CKV;08/11/2017;;
5;20240331;1;4;EUR;;GRP_1003987;;POS_603966;CON_1003987;CTP_CKV;13/11/2020;;
5;20240331;1;2;EUR;;GRP_1003988;;POS_603967;CON_1003988;CTP_CKV;10/11/2017;;
5;20240331;1;2;EUR;;GRP_1003992;;POS_603972;CON_1003992;CTP_CKV;20/05/2020;;
5;20240331;1;2;EUR;;GRP_1003992;;POS_603973;CON_1003992;CTP_CKV;25/05/2021;;
5;20240331;1;2;EUR;;GRP_1003995;;POS_603978;CON_1003995;CTP_CKV;08/11/2017;;
5;20240331;1;2;EUR;;GRP_1003996;;POS_603979;CON_1003996;CTP_CKV;10/11/2017;;
5;20240331;1;2;EUR;;GRP_0906290;;POS_603982;CON_0906290;CTP_CKV;14/11/2017;;
