STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;TYP_ENTRY_TYPE;DTE_MATURITY;IDE_COUNTERPARTY_REF;IDE_SOURCESYS_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_ISSUER_REF;PRD_PRODUCT;TYP_COLLATERAL;TYP_PORTFOLIO;AUDIT_INFO;CDE_RE_NUTS3;CTY_ASSET_LOCATION;TYP_COLL_VAL_APPR;DES_POSTALCODE;TYP_SUBSTITUTION;IDE_COLL_TO_POSITION_REF;TYP_REHYPOTH;TYP_SOLD_REPLEDGED;PER_LE_EXEMPT;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;IDE_INTERNAL_THREE
5;20240331;1;POS_1009739_HI_01;2;01/06/2030;GRP_1009739;PROGRESS 400LDLN;CON_1009739;CTP_CKV;;601001;120200;0;;FR717;FR;4;73550;;;;;;100,00;00,00;23613
5;20240331;1;POS_1009740_HI_01;2;01/06/2030;GRP_1009740;PROGRESS 400LDLN;CON_1009740;CTP_CKV;;601001;120200;0;;FR101;FR;4;75008;;;;;;100,00;00,00;22895
5;20240331;1;POS_1009741_HI_01;2;01/06/2035;GRP_1009741;PROGRESS 400LDLN;CON_1009741;CTP_CKV;;601001;120200;0;;FR101;FR;4;75009;;;;;;100,00;00,00;24346
5;20240331;1;POS_1009743_HI_01;2;01/07/2030;GRP_1009743;PROGRESS 400LDLN;CON_1009743;CTP_CKV;;601001;120200;0;;BE211;BE;4;2640;;;;;;100,00;00,00;23761
5;20240331;1;POS_1009743_HI_02;2;01/07/2030;GRP_1009743;PROGRESS 400LDLN;CON_1009743;CTP_CKV;;601001;120100;0;;BE211;BE;4;2547;;;;;;00,00;100,00;23762
5;20240331;1;POS_1009745_HI_01;2;01/06/2040;GRP_1009745;PROGRESS 400LDLN;CON_1009745;CTP_CKV;;601001;120200;0;;FR717;FR;4;73400;;;;;;100,00;00,00;24216
5;20240331;1;POS_1009746_HI_01;2;01/06/2025;GRP_1009746;PROGRESS 400LDLN;CON_1009746;CTP_CKV;;601001;120200;0;;FR101;FR;4;75015;;;;;;100,00;00,00;24097
5;20240331;1;POS_1009747_HI_01;2;01/06/2035;GRP_1009747;PROGRESS 400LDLN;CON_1009747;CTP_CKV;;601001;120200;0;;BE322;BE;4;6044;;;;;;100,00;00,00;24049
5;20240331;1;POS_1009748_HI_01;2;01/07/2040;GRP_1009748;PROGRESS 400LDLN;CON_1009748;CTP_CKV;;601001;120200;0;;BE241;BE;4;1540;;;;;;100,00;00,00;23608
5;20240331;1;POS_1009748_HI_02;2;01/07/2040;GRP_1009748;PROGRESS 400LDLN;CON_1009748;CTP_CKV;;601001;120100;0;;BE241;BE;4;1540;;;;;;00,00;100,00;23609
5;20240331;1;POS_1009748_HI_03;2;01/07/2040;GRP_1009748;PROGRESS 400LDLN;CON_1009748;CTP_CKV;;601001;120200;0;;BE331;BE;4;4570;;;;;;100,00;00,00;23786
5;20240331;1;POS_1009748_HI_04;2;01/07/2040;GRP_1009748;PROGRESS 400LDLN;CON_1009748;CTP_CKV;;601001;120200;0;;BE241;BE;4;1540;;;;;;100,00;00,00;23787
5;20240331;1;POS_1009749_HI_01;2;01/06/2040;GRP_1009749;PROGRESS 400LDLN;CON_1009749;CTP_CKV;;601001;120200;0;;BE331;BE;4;4570;;;;;;100,00;00,00;23786
5;20240331;1;POS_1009750_HI_01;2;01/07/2022;GRP_1009750;PROGRESS 400LDLN;CON_1009750;CTP_CKV;;601001;120200;0;;BE254;BE;4;8560;;;;;;100,00;00,00;24342
5;20240331;1;POS_1009750_HI_02;2;01/07/2022;GRP_1009750;PROGRESS 400LDLN;CON_1009750;CTP_CKV;;601001;120200;0;;BE254;BE;4;8560;;;;;;100,00;00,00;24343
5;20240331;1;POS_1009753_HI_01;2;01/06/2030;GRP_1009753;PROGRESS 400LDLN;CON_1009753;CTP_CKV;;601001;120200;0;;BE254;BE;4;8790;;;;;;100,00;00,00;24090
5;20240331;1;POS_1009754_HI_01;2;01/06/2030;GRP_1009754;PROGRESS 400LDLN;CON_1009754;CTP_CKV;;601001;120200;0;;BE241;BE;4;3090;;;;;;100,00;00,00;23956
5;20240331;1;POS_1009755_HI_01;2;01/06/2050;GRP_1009755;PROGRESS 400LDLN;CON_1009755;CTP_CKV;;601001;120200;0;;BE211;BE;4;2180;;;;;;100,00;00,00;24349
5;20240331;1;POS_1009757_HI_01;2;01/06/2030;GRP_1009757;PROGRESS 400LDLN;CON_1009757;CTP_CKV;;601001;120200;0;;BE241;BE;4;1602;;;;;;100,00;00,00;24347
5;20240331;1;POS_1009757_HI_02;2;01/06/2030;GRP_1009757;PROGRESS 400LDLN;CON_1009757;CTP_CKV;;601001;120100;0;;BE100;BE;4;1060;;;;;;50,00;50,00;24348
5;20240331;1;POS_1009759_HI_01;2;01/02/2022;GRP_1009759;PROGRESS 400LDLN;CON_1009759;CTP_CKV;;601001;120200;0;;BE258;BE;4;8620;;;;;;100,00;00,00;24191
5;20240331;1;POS_1009759_HI_02;2;01/02/2022;GRP_1009759;PROGRESS 400LDLN;CON_1009759;CTP_CKV;;601001;120200;0;;BE211;BE;4;2547;;;;;;100,00;00,00;24192
5;20240331;1;POS_1009759_HI_03;2;01/02/2022;GRP_1009759;PROGRESS 400LDLN;CON_1009759;CTP_CKV;;601001;120200;0;;BE100;BE;4;1020;;;;;;100,00;00,00;24282
5;20240331;1;POS_1009760_HI_01;2;01/07/2030;GRP_1009760;PROGRESS 400LDLN;CON_1009760;CTP_CKV;;601001;120200;0;;BE231;BE;4;9451;;;;;;100,00;00,00;24288
5;20240331;1;POS_1009762_HI_01;2;01/07/2040;GRP_1009762;PROGRESS 400LDLN;CON_1009762;CTP_CKV;;601001;120200;0;;FR825;FR;4;83440;;;;;;100,00;00,00;24351
5;20240331;1;POS_1009762_HI_02;2;01/07/2040;GRP_1009762;PROGRESS 400LDLN;CON_1009762;CTP_CKV;;601001;120200;0;;FR825;FR;4;83000;;;;;;100,00;00,00;24352
5;20240331;1;POS_1009763_HI_01;2;01/07/2030;GRP_1009763;PROGRESS 400LDLN;CON_1009763;CTP_CKV;;601001;120200;0;;FR103;FR;4;78500;;;;;;100,00;00,00;24132
5;20240331;1;POS_1009765_HI_01;2;01/07/2030;GRP_1009765;PROGRESS 400LDLN;CON_1009765;CTP_CKV;;601001;120200;0;;FR106;FR;4;93100;;;;;;100,00;00,00;24224
5;20240331;1;POS_1009765_HI_02;2;01/07/2030;GRP_1009765;PROGRESS 400LDLN;CON_1009765;CTP_CKV;;601001;120200;0;;FR102;FR;4;77420;;;;;;100,00;00,00;24225
5;20240331;1;POS_1009765_HI_03;2;01/07/2030;GRP_1009765;PROGRESS 400LDLN;CON_1009765;CTP_CKV;;601001;120200;0;;FR106;FR;4;93160;;;;;;100,00;00,00;24226
